Activity name,Activity code 1,Activity code 2,URI
Activities auxiliary to financial intermediation (67),i67,A_FAUX,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FAUX
Activities of membership organisation n.e.c. (91),i91,A_ORGA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ORGA
Air transport (62),i62,A_TAIR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TAIR
Aluminium production,i27.42,A_ALUM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ALUM
Animal products nec,i01.m,A_OANP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OANP
"Biogasification of food waste, incl. land application",i90.2.a,A_BIOF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BIOF
"Biogasification of paper, incl. land application",i90.2.b,A_BIOP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BIOP
"Biogasification of sewage slugde, incl. land application",i90.2.c,A_BIOS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BIOS
Casting of metals,i27.5,A_METC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_METC
Cattle farming,i01.i,A_CATL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CATL
Chemicals nec,i24.d,A_CHEM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CHEM
"Collection, purification and distribution of water (41)",i41,A_WATR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WATR
"Composting of food waste, incl. land application",i90.3.a,A_COMF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COMF
"Composting of paper and wood, incl. land application",i90.3.b,A_COMW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COMW
Computer and related activities (72),i72,A_COMP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COMP
Construction (45),i45,A_CONS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CONS
Copper production,i27.44,A_COPP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COPP
Cultivation of cereal grains nec,i01.c,A_OCER,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OCER
Cultivation of crops nec,i01.h,A_OTCR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OTCR
Cultivation of oil seeds,i01.e,A_OILS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OILS
Cultivation of paddy rice,i01.a,A_PARI,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PARI
Cultivation of plant-based fibers,i01.g,A_FIBR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FIBR
"Cultivation of sugar cane, sugar beet",i01.f,A_SUGB,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_SUGB
"Cultivation of vegetables, fruit, nuts",i01.d,A_FVEG,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FVEG
Cultivation of wheat,i01.b,A_WHEA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WHEA
Distribution and trade of electricity,i40.13,A_POWD,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWD
Distribution of gaseous fuels through mains,i40.2.b,A_GASD,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_GASD
Education (80),i80,A_EDUC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_EDUC
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",i11.a,A_COIL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COIL
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",i11.b,A_GASE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_GASE
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",i11.c,A_OGPL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OGPL
Extra-territorial organizations and bodies,i99,A_EXTO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_EXTO
"Financial intermediation, except insurance and pension funding (65)",i65,A_FINT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FINT
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",i05,A_FISH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FISH
