Product name,Product code 1,product code 2,URI
Additives/Blending Components,p24.f,C_ADDC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ADDC
Aviation Gasoline,p23.20.b,C_AGSL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_AGSL
Aluminium and aluminium products,p27.42,C_ALUM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ALUM
Aluminium ores and concentrates,p13.20.13,C_ALUO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ALUO
Secondary aluminium for treatment; Re-processing of secondary aluminium into new aluminium,p27.42.w,C_ALUW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ALUW
Anthracite,p10.a,C_ANTH,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ANTH
Ash for treatment; Re-processing of ash into clinker,p26.d.w,C_ASHW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ASHW
Beverages,p15.j,C_BEVR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BEVR
Biodiesels,p24.h,C_BIOD,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BIOD
Food waste for treatment: biogasification and land application,p90.2.a,C_BIOF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BIOF
Biogasoline,p24.g,C_BIOG,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BIOG
Paper waste for treatment: biogasification and land application,p90.2.b,C_BIOP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BIOP
Sewage sludge for treatment: biogasification and land application,p90.2.c,C_BIOS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BIOS
Bitumen,p23.20.o,C_BITU,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BITU
BKB/Peat Briquettes,p10.g,C_BKBP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BKBP
Bottles for treatment; Recycling of bottles by direct reuse,p37.w.1,C_BOTW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BOTW
Bricks; tiles and construction products; in baked clay,p26.c,C_BRIK,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_BRIK
Cattle,p01.i,C_CATL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CATL
Charcoal,p24.e,C_CHAR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CHAR
Chemicals nec,p24.d,C_CHEM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CHEM
Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.,p14.3,C_CHMF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CHMF
Cement; lime and plaster,p26.d,C_CMNT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CMNT
Crude petroleum and services related to crude oil extraction; excluding surveying,p11.a,C_COIL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COIL
Coking Coal,p10.b,C_COKC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COKC
Coke Oven Coke,p23.1.a,C_COKE,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COKE
Food waste for treatment: composting and land application,p90.3.a,C_COMF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COMF
Computer and related services (72),p72,C_COMP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COMP
Paper and wood waste for treatment: composting and land application,p90.3.b,C_COMW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COMW
Construction work (45),p45,C_CONS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CONS
Secondary construction material for treatment; Re-processing of secondary construction material into aggregates,p45.w,C_CONW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CONW
Coke oven gas,p40.2.a,C_COOG,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COOG
Copper ores and concentrates,p13.20.11,C_COPO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COPO
Copper products,p27.44,C_COPP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COPP
Secondary copper for treatment; Re-processing of secondary copper into new copper,p27.44.w,C_COPW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COPW
Coal Tar,p23.1.c,C_COTA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_COTA
Ceramic goods,p26.b,C_CRMC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_CRMC
Dairy products,p15.f,C_DAIR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_DAIR
Gas/Diesel Oil,p23.20.f,C_DOIL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_DOIL
Education services (80),p80,C_EDUC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_EDUC
Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ELMA
Ethane,p23.20.k,C_ETHA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ETHA
Extra-territorial organizations and bodies,p99,C_EXTO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_EXTO
Fabricated metal products; except machinery and equipment (28),p28,C_FABM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FABM
Services auxiliary to financial intermediation (67),p67,C_FAUX,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FAUX
Plant-based fibers,p01.g,C_FIBR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FIBR
Insurance and pension funding services; except compulsory social security services (66),p66,C_FINS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FINS
Financial intermediation services; except insurance and pension funding services (65),p65,C_FINT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FINT
Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_FISH
